,Left_id,Right_id,Score
0,2,78912,95.14
1,2,78913,95.14
2,8,84021,81.39
3,57,32737,99.05
4,67,77383,96.44
5,77,28232,94.44
6,82,68048,85.07
7,82,69358,85.07
8,159,16722,100.0
9,159,17061,98.78
10,179,69882,99.04
11,179,69883,99.04
12,192,65442,96.3
13,195,22389,99.12
14,205,81792,92.96
15,219,3904,99.14
16,259,78894,84.53
17,296,14144,89.44
18,299,15377,93.21
19,317,51829,97.4
20,332,89911,98.97
21,347,23706,87.84
22,378,37129,94.83
23,394,74086,100.0
24,411,31981,96.43
25,431,4734,98.77
26,447,63675,99.1
27,447,63676,99.1
28,494,8681,99.11
29,494,9571,93.97
30,507,79724,98.97
31,511,85230,94.31
32,534,42420,98.79
33,535,16418,99.12
34,540,88547,98.58
35,555,69048,100.0
36,560,61036,98.72
37,579,55799,99.17
38,579,55803,89.81
39,608,54989,100.0
40,608,58639,81.55
41,622,34070,99.26
42,629,65119,80.6
43,630,91248,93.25
44,633,2439,84.62
45,662,48146,99.16
46,662,48598,93.89
47,696,87455,99.11
48,705,11573,97.76
49,715,74025,100.0
50,735,61634,91.72
51,764,22618,92.82
52,768,21324,96.19
53,782,46974,86.04
54,787,56561,91.5
55,821,9929,88.97
56,831,69884,84.63
57,831,73186,85.81
58,859,47655,99.04
59,876,1591,92.78
60,879,67677,96.0
61,882,75789,85.02
62,884,73521,96.02
63,907,63867,92.03
64,944,78757,100.0
65,972,72912,82.48
66,986,4930,84.7
67,1003,68036,99.13
68,1047,19075,92.3
69,1047,21541,92.3
70,1075,34456,80.92
71,1075,34457,80.92
72,1115,23915,95.11
73,1167,29503,87.66
74,1170,69627,82.58
75,1225,59768,82.63
76,1254,2768,94.62
77,1276,48381,80.48
78,1276,48398,80.48
79,1287,20985,89.74
80,1287,24052,87.52
81,1289,80394,81.81
82,1303,66463,80.51
83,1338,33842,86.26
84,1353,21569,99.14
85,1391,75485,92.01
86,1423,89595,88.9
87,1423,89596,88.9
88,1462,19667,84.77
89,1465,56013,93.96
90,1467,85001,95.25
91,1467,85128,95.25
92,1483,90965,96.18
93,1493,81315,93.51
94,1501,65774,93.69
95,1522,18219,87.59
96,1527,80721,100.0
97,1528,8928,99.0
98,1528,8929,99.0
99,1544,72490,83.43
100,1547,25396,100.0
101,1551,51504,98.95
102,1560,10562,80.78
103,1560,10563,80.78
104,1563,21987,96.35
105,1568,71310,95.71
106,1575,51653,82.67
107,1577,89972,87.33
108,1578,87920,100.0
109,1585,44205,80.88
110,1585,46134,80.88
111,1598,9541,88.05
112,1661,78027,84.33
113,1684,44414,99.2
114,1692,36543,99.09
115,1717,29770,93.48
116,1776,48061,91.47
117,1776,48062,91.47
118,1829,51009,82.35
119,1857,31672,100.0
120,1863,44800,83.99
121,1882,72242,98.71
122,1923,6588,98.91
123,1929,73252,98.93
124,1941,77575,94.51
125,1951,2664,89.53
126,1957,80984,86.37
127,1957,82698,99.08
128,1962,40525,94.45
129,1966,38249,99.08
130,1966,40027,93.47
131,2002,67017,83.33
132,2002,69614,83.33
133,2004,16205,99.13
134,2011,70417,81.47
135,2013,13281,99.09
136,2013,13282,99.09
137,2019,82699,85.86
138,2022,76074,81.24
139,2029,58159,94.05
140,2037,57035,99.19
141,2037,58031,99.19
142,2040,32969,81.44
143,2048,46947,99.07
144,2062,27718,90.44
145,2082,68434,95.82
146,2101,70976,89.91
147,2113,73602,93.98
148,2139,90597,90.11
149,2173,86625,98.89
150,2173,86626,98.89
151,2207,56752,94.41
152,2220,24832,95.48
153,2247,63005,96.54
154,2247,69678,96.44
155,2328,45179,82.88
156,2333,37101,92.13
157,2333,37102,92.13
158,2401,64413,85.26
159,2410,53619,98.95
160,2410,57558,100.0
161,2412,79013,96.32
162,2422,17192,99.18
163,2422,17193,99.18
164,2426,47647,99.06
165,2475,3354,81.14
166,2475,3355,81.14
167,2508,82959,98.97
168,2512,77346,84.71
169,2524,32135,99.02
170,2564,56739,94.2
171,2564,56747,98.99
172,2583,1706,98.89
173,2605,61179,99.08
174,2605,61180,99.08
175,2614,66707,95.4
176,2639,58432,89.89
177,2651,49857,89.46
178,2654,39489,100.0
179,2673,73035,96.84
180,2674,64730,91.26
181,2717,72375,99.06
182,2730,23472,85.83
183,2732,83154,100.0
184,2742,90028,98.98
185,2742,90723,98.98
186,2756,5692,81.14
187,2759,22054,83.38
188,2781,30506,85.7
189,2791,44455,91.85
190,2808,27599,98.89
191,2820,6697,100.0
192,2826,65833,100.0
193,2843,88950,87.09
194,2843,88951,87.09
195,2846,69644,100.0
196,2846,69645,100.0
197,2855,59680,98.95
198,2855,59681,98.95
199,2858,26151,100.0
200,2877,67645,90.78
201,2877,67646,90.78
202,2897,74472,99.09
203,2897,75863,99.09
204,2906,83111,81.58
205,2906,85689,85.22
206,2907,82381,96.42
207,2919,52963,94.14
208,2921,27303,98.77
209,2921,27304,98.77
210,2934,66178,89.62
211,2967,41798,82.22
212,2967,41799,82.22
213,2970,65351,88.3
214,2993,61632,95.86
215,3004,14406,98.85
216,3012,73108,90.2
217,3016,60142,99.45
218,3016,69844,99.45
219,3028,53795,94.66
220,3040,61582,100.0
221,3043,79930,92.42
222,3050,87158,95.49
223,3053,7231,86.58
224,3106,72402,95.86
225,3115,88995,87.14
226,3133,7053,84.73
227,3140,28679,99.09
228,3183,29749,94.4
229,3183,29750,94.4
230,3211,54107,98.94
231,3211,64664,91.97
232,3214,49285,99.08
233,3237,76893,88.5
234,3237,76894,88.5
235,3243,66855,96.0
236,3243,66860,97.25
237,3247,85948,87.03
238,3247,87595,87.03
239,3251,48862,95.87
240,3259,59441,92.02
241,3261,83849,91.6
242,3270,54630,97.49
243,3298,53327,96.44
244,3300,21317,98.25
245,3341,19909,91.35
246,3361,60522,88.79
247,3379,48876,98.78
248,3406,64301,82.45
249,3416,425,97.1
250,3434,77519,97.31
251,3505,25998,96.24
252,3507,57907,80.76
253,3510,1078,93.53
254,3510,3590,99.23
255,3522,72966,99.25
256,3560,73926,87.09
257,3569,84009,91.54
258,3569,85636,91.54
259,3594,53309,95.9
260,3611,56887,100.0
261,3612,82735,99.08
262,3612,83266,99.08
263,3613,13807,93.72
264,3613,14616,90.63
265,3636,10988,94.91
266,3668,65538,90.6
267,3670,56786,96.55
268,3684,84887,99.16
269,3686,18879,97.27
270,3686,20464,88.65
271,3687,54930,99.11
272,3688,79804,89.82
273,3713,15897,95.51
274,3725,56156,86.8
275,3725,61327,94.72
276,3727,20182,98.8
277,3760,16932,95.21
278,3764,19515,92.05
279,3765,1608,99.02
280,3804,31962,97.01
281,3806,18253,100.0
282,3809,15233,82.02
283,3856,38182,95.29
284,3856,39904,95.29
285,3876,76592,84.31
286,3885,1790,99.36
287,3932,15871,84.9
288,4037,78613,99.09
289,4038,19167,84.29
290,4040,2606,83.77
291,4062,27333,87.59
292,4064,73313,98.93
293,4082,71678,97.43
294,4097,60464,99.35
295,4097,61021,96.45
296,4116,26815,91.85
297,4166,89884,98.82
298,4166,89885,98.82
299,4168,42499,82.96
300,4183,7532,98.96
301,4201,75017,96.75
302,4205,5397,80.76
303,4225,40882,98.16
304,4241,20633,85.18
305,4270,478,90.24
306,4270,4572,89.59
307,4287,1904,99.08
308,4308,66501,83.31
309,4313,8988,89.89
310,4324,80315,93.57
311,4326,78126,94.67
312,4358,78483,82.39
313,4358,78484,82.39
314,4362,7167,90.8
315,4384,33230,100.0
316,4392,30723,99.09
317,4392,30957,99.09
318,4398,78726,85.52
319,4407,33472,98.91
320,4432,38683,83.28
321,4434,41905,80.34
322,4436,805,98.51
323,4436,806,98.51
324,4451,16876,92.35
325,4458,73371,85.5
326,4465,52706,90.73
327,4465,52729,100.0
328,4486,37629,98.89
329,4510,4348,94.18
330,4520,56550,99.09
331,4533,55826,84.75
332,4536,29907,94.81
333,4536,30177,90.97
334,4537,680,86.63
335,4551,24264,90.49
336,4558,24775,99.08
337,4594,16172,95.69
338,4608,55108,92.16
339,4611,57334,96.79
340,4616,868,91.7
341,4617,81373,93.98
342,4625,30590,97.38
343,4644,87290,87.85
344,4661,59400,84.91
345,4663,61072,99.11
346,4663,63976,100.0
347,4666,57322,87.91
348,4702,52341,96.47
349,4702,53915,96.47
350,4711,23673,91.91
351,4729,86849,84.35
352,4741,5950,98.86
353,4798,51851,83.51
354,4801,90752,98.92
355,4802,42432,93.54
356,4809,50423,95.36
357,4815,70801,93.22
358,4819,25773,99.46
359,4821,6953,89.26
360,4821,6954,89.26
361,4827,40219,100.0
362,4853,21903,95.45
363,4860,6730,99.07
364,4885,61603,100.0
365,4885,61604,100.0
366,4919,66521,81.65
